City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Country,Wind Speed,Current Description
79,Coquimbo,-29.9533,-71.3436,58.73,82,0,CL,11.5,clear sky
80,College,64.8569,-147.8028,74.28,54,75,US,3.44,broken clouds
81,Sur,22.5667,59.5289,89.64,55,100,OM,14.16,overcast clouds
82,Kimbe,-5.5502,150.1429,79.36,78,45,PG,3.65,scattered clouds
83,Hervey Bay,-25.2986,152.8535,66.02,94,3,AU,3.0,clear sky
84,Grindavik,63.8424,-22.4338,53.56,93,90,IS,5.75,overcast clouds
85,Bonfim,3.0833,-59.95,77.09,85,89,BR,5.32,overcast clouds
86,Lavrentiya,65.5833,-171.0,41.14,84,100,RU,12.68,light rain
87,Mataura,-46.1927,168.8643,42.48,95,80,NZ,2.82,broken clouds
88,Barrow,71.2906,-156.7887,45.68,79,100,US,20.11,overcast clouds
89,Gigmoto,13.7796,124.39,81.14,80,100,PH,7.99,overcast clouds
90,Tiksi,71.6872,128.8694,47.37,71,20,RU,4.52,few clouds
91,Saskylakh,71.9167,114.0833,72.07,46,0,RU,3.38,clear sky
92,Maningrida,-12.0667,134.2667,68.7,91,15,AU,6.91,few clouds
93,Tomball,30.0972,-95.6161,96.08,53,99,US,3.0,overcast clouds
94,Chokurdakh,70.6333,147.9167,40.77,66,30,RU,8.1,scattered clouds
95,Nioro,13.35,-15.75,76.44,90,64,GM,7.4,broken clouds
96,Yellowknife,62.456,-114.3525,87.33,28,20,CA,4.61,few clouds
97,Chuy,-33.6971,-53.4616,49.62,93,23,UY,5.77,few clouds
98,Hirado,33.3597,129.5531,78.39,85,89,JP,8.12,overcast clouds
99,Dikson,73.5069,80.5464,39.7,99,99,RU,8.08,overcast clouds
100,Flin Flon,54.7682,-101.865,84.04,32,1,CA,5.75,smoke
101,Champasak,14.75,106.0,73.26,98,100,LA,0.04,overcast clouds
102,Shumskiy,54.8318,99.1328,54.66,98,100,RU,4.41,light rain
103,New Norfolk,-42.7826,147.0587,39.76,83,20,AU,2.46,few clouds
104,Severo-Kurilsk,50.6789,156.125,55.53,73,0,RU,14.61,clear sky
105,Butaritari,3.0707,172.7902,83.17,69,10,KI,10.38,clear sky
106,Jumla,29.2747,82.1838,63.88,93,99,NP,0.22,overcast clouds
107,Milkovo,54.7167,158.6167,59.45,55,26,RU,3.33,scattered clouds
108,Pevek,69.7008,170.3133,33.46,97,100,RU,14.38,overcast clouds
109,Cabra,37.4725,-4.4421,74.66,28,51,ES,3.74,broken clouds
110,Ochamchira,42.7121,41.4721,72.07,91,6,GE,4.14,clear sky
111,Tasiilaq,65.6145,-37.6368,42.71,76,38,GL,4.83,scattered clouds
112,Itamaraca,-7.7478,-34.8256,78.85,77,0,BR,16.13,clear sky
113,Rawson,-43.3002,-65.1023,58.73,35,26,AR,9.84,scattered clouds
114,Upernavik,72.7868,-56.1549,42.84,80,23,GL,12.37,few clouds
115,Mogadishu,2.0371,45.3438,75.92,85,65,SO,18.34,light rain
