City_ID,City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Country,Wind Speed,Current Description
215,215,Boa Vista,2.8197,-60.6733,76.98,83,75,BR,4.61,broken clouds
216,216,Santiago,-33.4569,-70.6483,80.04,13,0,CL,3.44,clear sky
222,222,Norman Wells,65.282,-126.8329,86.04,28,75,CA,4.61,smoke
225,225,Eureka,40.8021,-124.1637,86.67,70,58,US,3.0,broken clouds
227,227,Yamada,39.4667,141.95,77.56,91,3,JP,9.75,clear sky
229,229,Chigorodo,7.6664,-76.6811,80.33,91,98,CO,4.83,overcast clouds
230,230,Georgetown,5.4112,100.3354,75.88,92,20,MY,2.3,few clouds
235,235,Ponot,8.452,123.0222,78.12,85,98,PH,5.88,overcast clouds
237,237,Maumere,-8.6199,122.2111,78.1,83,86,ID,8.59,overcast clouds
240,240,Pundaguitan,6.3711,126.1689,83.03,76,98,PH,6.42,moderate rain
242,242,Mayo,38.8876,-76.5119,82.65,90,90,US,8.01,overcast clouds
243,243,Umm Lajj,25.0213,37.2685,87.58,48,5,SA,5.28,clear sky
248,248,Alexandria,31.2156,29.9553,81.14,89,0,EG,6.91,clear sky
251,251,Hithadhoo,-0.6,73.0833,81.07,72,91,MV,6.98,overcast clouds
253,253,Baglan,36.1307,68.7083,79.34,21,0,AF,3.91,clear sky
257,257,Naliya,23.2667,68.8333,81.03,82,100,IN,19.75,overcast clouds
260,260,Mapastepec,15.4333,-92.9,86.11,77,99,MX,3.24,overcast clouds
261,261,Ambon,-3.6954,128.1814,75.34,94,40,ID,8.05,scattered clouds
266,266,Half Moon Bay,37.4636,-122.4286,88.92,65,33,US,1.01,scattered clouds
268,268,Hasaki,35.7333,140.8333,79.29,84,13,JP,6.29,few clouds
272,272,Khartoum,15.5518,32.5324,88.02,47,67,SD,1.01,broken clouds
273,273,Santa Rosa,14.3122,121.1114,83.1,83,100,PH,14.7,overcast clouds
274,274,Jieshi,22.8134,115.8257,83.95,87,100,CN,6.02,overcast clouds
275,275,Monrovia,6.3005,-10.7969,77.13,77,100,LR,9.22,overcast clouds
277,277,Tautira,-17.7333,-149.15,80.62,63,43,PF,7.74,scattered clouds
279,279,Cockburn Town,21.4612,-71.1419,85.96,70,40,TC,18.41,scattered clouds
284,284,Acarau,-2.8856,-40.12,78.46,77,83,BR,13.4,broken clouds
286,286,Kudat,6.8837,116.8477,77.29,94,40,MY,5.75,scattered clouds
290,290,Waynesville,35.4887,-82.9887,81.27,79,90,US,3.0,overcast clouds
291,291,Awjilah,29.1081,21.2869,87.73,24,3,LY,10.67,clear sky
292,292,Aksu,41.1231,80.2644,75.02,18,62,CN,5.7,broken clouds
295,295,Corn Island,12.1694,-83.0418,82.13,81,40,NI,18.66,scattered clouds
298,298,Victoria,22.2855,114.1577,85.32,89,93,HK,3.0,overcast clouds
301,301,Touros,-5.1989,-35.4608,79.7,74,5,BR,19.42,clear sky
302,302,San Cristobal,7.7669,-72.225,82.58,89,76,VE,6.13,broken clouds
303,303,Little Chute,44.28,-88.3184,75.51,55,75,US,3.0,broken clouds
304,304,Puerto Escondido,15.85,-97.0667,86.68,68,68,MX,5.7,broken clouds
306,306,Tabou,4.423,-7.3528,76.6,80,87,CI,6.78,overcast clouds
307,307,Tevaitoa,-16.7833,-151.5,77.2,69,40,PF,14.67,scattered clouds
309,309,Balkhash,46.844,74.9804,77.99,39,4,KZ,10.2,clear sky
310,310,Maine-Soroa,13.2114,12.0241,81.07,68,90,NE,11.63,overcast clouds
316,316,Vung Tau,10.346,107.0843,80.29,84,98,VN,16.08,overcast clouds
317,317,Hambantota,6.1241,81.1185,77.34,100,0,LK,6.91,clear sky
319,319,Roura,4.7263,-52.3274,84.11,74,0,GF,3.44,clear sky
321,321,Popondetta,-8.7537,148.2534,77.02,73,99,PG,1.01,overcast clouds
325,325,Fortuna,40.5982,-124.1573,86.41,69,20,US,3.0,few clouds
329,329,Kieta,-6.2167,155.6333,80.53,79,9,PG,2.26,clear sky
331,331,Bathsheba,13.2167,-59.5167,84.81,74,20,BB,10.36,few clouds
333,333,Hamilton,39.1834,-84.5333,80.89,68,27,US,4.0,scattered clouds
334,334,Marsa Matruh,31.3525,27.2453,80.8,89,0,EG,9.22,clear sky
337,337,Altamira,-3.2033,-52.2064,78.89,94,20,BR,0.0,few clouds
344,344,Rurrenabaque,-14.4413,-67.5278,80.49,54,75,BO,4.61,broken clouds
345,345,Gasa,31.5,34.4667,80.58,64,0,PS,2.33,clear sky
346,346,Salamiyah,35.0113,37.0532,77.54,51,0,SY,9.82,clear sky
349,349,Nabire,-3.3667,135.4833,75.56,92,87,ID,3.22,overcast clouds
350,350,Dakar,14.6937,-17.4441,82.53,78,20,SN,4.61,few clouds
359,359,Vicosa Do Ceara,-3.5622,-41.0922,76.84,39,99,BR,8.59,overcast clouds
364,364,Manggar,-2.8833,108.2667,80.6,75,76,ID,9.73,broken clouds
367,367,Alofi,-19.0595,-169.9187,78.69,69,60,NU,17.27,broken clouds
371,371,Wilmington,34.2257,-77.9447,88.99,79,42,US,4.0,scattered clouds
372,372,Artemovsk,49.8406,36.0417,75.54,57,63,UA,5.03,broken clouds
377,377,Zhanaozen,43.3,52.8,83.79,18,0,KZ,1.72,clear sky
384,384,Brufut,13.3814,-16.7518,78.89,100,75,GM,0.0,broken clouds
386,386,Rancho Veloz,22.8806,-80.3917,86.43,65,28,CU,15.19,scattered clouds
390,390,Boli,45.7667,130.5167,76.41,76,45,CN,7.52,scattered clouds
391,391,Sembakung,3.8167,117.25,76.93,99,100,ID,3.2,light rain
392,392,Nishihara,26.1842,127.7558,81.68,89,75,JP,19.57,broken clouds
399,399,Gat,31.61,34.7642,84.4,54,0,IL,2.75,clear sky
400,400,Bubaque,11.2833,-15.8333,79.65,81,87,GW,19.62,light rain
402,402,Kalach-Na-Donu,48.691,43.5264,78.12,39,13,RU,6.06,few clouds
406,406,Ardakan,32.31,54.0175,88.18,14,24,IR,6.08,few clouds
407,407,La Asuncion,11.0333,-63.8628,81.27,78,2,VE,15.37,clear sky
410,410,Pampa,35.5362,-100.9599,75.11,88,90,US,12.66,overcast clouds
414,414,Makakilo City,21.3469,-158.0858,82.69,53,3,US,22.73,clear sky
419,419,Naze,28.3667,129.4833,79.72,86,89,JP,12.93,overcast clouds
421,421,Lubao,14.9167,120.55,83.14,88,100,PH,10.07,overcast clouds
422,422,Rio Branco,-9.9747,-67.81,84.81,45,0,BR,5.75,clear sky
431,431,Bandarbeyla,9.4942,50.8122,82.24,62,14,SO,25.59,few clouds
432,432,Tari,12.4086,4.4914,78.44,79,100,NG,15.37,moderate rain
438,438,Danville,36.586,-79.395,88.25,65,86,US,1.99,overcast clouds
439,439,Santa Barbara,34.7333,-120.0343,84.34,38,1,US,14.97,clear sky
440,440,Phonhong,18.5007,102.4166,75.79,95,100,LA,0.83,overcast clouds
441,441,Rudbar,30.15,62.6,85.64,15,0,AF,19.22,clear sky
442,442,Tessalit,20.1986,1.0114,87.06,40,6,ML,12.19,clear sky
443,443,Waddan,29.1614,16.139,86.76,23,0,LY,13.0,clear sky
445,445,Shaowu,27.3409,117.4831,75.31,96,59,CN,0.56,broken clouds
447,447,Diffa,13.3154,12.6113,80.38,69,67,NE,10.83,broken clouds
448,448,Guymon,36.6828,-101.4816,78.75,39,100,US,6.89,overcast clouds
449,449,Lalmohan,22.3384,90.7419,79.77,88,100,BD,8.7,overcast clouds
450,450,Virginia Beach,36.8529,-75.978,83.1,84,93,US,1.01,overcast clouds
451,451,Mahibadhoo,3.7833,72.9667,81.91,76,100,MV,9.17,overcast clouds
455,455,Oussouye,12.485,-16.5469,80.69,88,90,SN,10.2,light rain
456,456,Davidson,36.1501,-86.7833,84.85,65,20,US,4.0,few clouds
458,458,Pachino,36.7186,15.0907,89.6,56,0,IT,5.7,clear sky
459,459,Fort Nelson,58.8053,-122.7002,87.39,42,1,CA,4.61,smoke
461,461,Kuryk,43.2,51.65,84.78,30,0,KZ,7.52,clear sky
463,463,Itarema,-2.9248,-39.9167,78.58,77,80,BR,13.62,broken clouds
464,464,Itoman,26.1247,127.6694,82.42,89,75,JP,19.57,broken clouds
465,465,Los Palacios,22.5872,-83.2486,88.56,58,31,CU,5.32,scattered clouds
466,466,Aitape,-3.1374,142.3475,78.44,87,27,PG,3.89,scattered clouds
469,469,Bontang,0.1333,117.5,76.26,92,60,ID,6.89,broken clouds
470,470,Labuhan,-6.8844,112.2051,76.37,78,11,ID,9.8,few clouds
477,477,Port Blair,11.6667,92.75,81.82,81,100,IN,19.01,overcast clouds
481,481,Los Zacatones,22.95,-102.05,80.64,26,20,MX,13.8,few clouds
482,482,Honiara,-9.4333,159.95,80.31,76,40,SB,3.8,scattered clouds
485,485,Shingu,33.7333,135.9833,79.92,82,68,JP,3.15,broken clouds
488,488,Tucuma,-0.1833,-50.05,78.44,82,48,BR,4.41,scattered clouds
492,492,Na Wa,17.4897,104.1006,75.38,92,100,TH,4.07,overcast clouds
495,495,Inirida,3.8653,-67.9239,75.36,94,54,CO,2.75,broken clouds
497,497,Campbellsville,37.3434,-85.3419,81.27,48,7,US,5.99,clear sky
498,498,Mudkhed,19.1667,77.5167,75.83,77,100,IN,16.2,overcast clouds
500,500,Carutapera,-1.195,-46.02,75.06,88,76,BR,2.21,broken clouds
503,503,Tainan,22.9908,120.2133,78.87,100,90,TW,2.3,overcast clouds
504,504,Singkang,2.1006,102.7994,76.89,93,27,MY,1.03,scattered clouds
506,506,Bud,39.447,-86.1758,80.67,61,10,US,11.1,clear sky
510,510,Majalaya,-7.3378,106.6069,75.16,88,37,ID,12.95,scattered clouds
512,512,Ponnani,10.767,75.9252,76.32,84,76,IN,6.02,broken clouds
513,513,Palmer,42.1584,-72.3287,75.92,60,89,US,9.71,overcast clouds
516,516,Misratah,32.3754,15.0925,85.6,53,0,LY,8.01,clear sky
526,526,Naples,40.8333,14.25,83.57,78,0,IT,3.0,clear sky
527,527,Bo Phloi,14.3236,99.5161,82.31,73,100,TH,5.99,overcast clouds
529,529,The Valley,18.217,-63.0578,84.81,74,20,AI,14.97,few clouds
531,531,Nawa,27.0167,75.0,76.42,90,95,IN,14.18,overcast clouds
532,532,Guozhen,34.3659,107.359,77.49,49,8,CN,2.33,clear sky
534,534,Aktau,43.65,51.2,79.38,33,4,KZ,9.51,clear sky
543,543,Le Moule,16.3332,-61.3473,84.24,72,7,GP,10.56,clear sky
545,545,Roanoke Rapids,36.4615,-77.6542,86.45,89,1,US,0.0,clear sky
